Project,CurrencyLinks,Starts in,Sale info
Voxel Doge,Ethereum,https://twitter.com/CRYPT056,"5/10/2022, 10:00:00 AM",Sale: 0.09 ETH
Kracked Kremlin ,Solana,https://twitter.com/KrackedKremlin,"5/10/2022, 11:00:00 AM",Pre-sale: 2.5 SOL
Shukuna,Solana,https://twitter.com/Shukuna__nft,"5/10/2022, 3:00:00 PM",Sale: 0.3 SOL
The Data Shift,Solana,https://twitter.com/thedatashift,"5/10/2022, 6:00:00 PM",Pre-sale: 1.85 SOL
OctoRaiders,Ethereum,https://twitter.com/OctoRaidersNFT,"5/10/2022, 8:00:00 PM",Pre-sale: 0.07 ETH
Noahs Ark NFT,Solana,https://twitter.com/NftNoahsArk,"5/11/2022, 12:00:00 AM",Sale: 1 SOL
Mutant Hua,Ethereum,https://twitter.com/ChihuahuaNFT,"5/11/2022, 12:41:00 PM",Sale: 0.04 ETH
Cosmic Astronauts,Solana,https://twitter.com/CosmicAstroNFT,"5/11/2022, 4:30:00 PM",Pre-sale: 1.1 SOL
Roving Dogs NFT,Ethereum,https://twitter.com/RovingDogsNFT,"5/12/2022, 12:00:00 AM",Pre-sale: 0.055 ETH
ArrogantBear Baby,Ethereum,https://twitter.com/Arrogant_Bear,"5/12/2022, 6:00:00 AM",Sale: 0.03 ETH
Mare Tsuki,Solana,https://twitter.com/Mare_Tsuki,"5/12/2022, 12:00:00 PM",Pre-sale: 0.75 SOL
HappyMonkeys Season 2,Solana,https://twitter.com/HappyMonkeysNFT,"5/12/2022, 12:00:00 PM",Sale: 1 SOL
Teddy Gang NFT,Ethereum,https://twitter.com/TeddyGangNFTs,"5/12/2022, 5:00:00 PM",Pre-sale: 0.23 ETH
Atama NFTs,Solana,https://twitter.com/NorowaretaUchu,"5/12/2022, 5:00:00 PM",Sale: 0.1888 SOL
Sentoki NFTs,Solana,https://twitter.com/NorowaretaUchu,"5/12/2022, 6:00:00 PM",Sale: 0.1888 SOL
Lost Dino Ark,Solana,https://twitter.com/LostDinoArk,"5/13/2022, 5:00:00 AM",Pre-sale: 1 SOL
Introverts,Introverts,https://twitter.com/IntrovertsCNFT,"5/13/2022, 12:00:00 PM",Sale: 58 ADA
HAPE TEENS,Ethereum,https://twitter.com/HapeTeens,"5/13/2022, 12:00:00 PM",Sale: 0.04 ETH
Girls in Pink,Ethereum,https://twitter.com/girlsinpinknft,"5/13/2022, 3:00:00 PM",Sale: 0.02 ETH
Ayagi Elephants,Solana,https://twitter.com/AyagiElephants,"5/13/2022, 8:00:00 PM",Sale: 0.33 SOL
Mutant Hamsters,Ethereum,https://twitter.com/MutantHamsters,"5/13/2022, 9:00:00 PM",Pre-sale: 0.04 ETH
Japanese Born Ape Society,Ethereum,https://twitter.com/Japanese_BAPES,"5/14/2022, 12:00:00 AM",Sale: 0.09 ETH
Wallstreet Tiger Club,Solana,https://twitter.com/WSTigerClubNFT,"5/14/2022, 12:00:00 AM",Sale: 3.2 SOL
No Hesi Car Club,Ethereum,https://twitter.com/nohesicarclub,"5/14/2022, 9:00:00 AM",Pre-sale: 0.1 ETH
Toucans Club,Ethereum,https://twitter.com/toucans_club,"5/14/2022, 9:00:00 AM",Pre-sale: 0.025 ETH
Blitzed Bucks Hunting Club,Ethereum,https://twitter.com/BlitzedBucksNFT,"5/14/2022, 5:00:00 PM",Sale: 0.08 ETH
Forest Industry,Solana,https://twitter.com/Darkland_creat,"5/14/2022, 5:00:00 PM",Pre-sale: 0.08 SOL
Billionaire Shark Society,Solana,https://twitter.com/SharkSociety_,"5/14/2022, 7:00:00 PM",Sale: 1 SOL
Azylum Access Pass,Solana,https://twitter.com/AzylumArts,"5/14/2022, 7:00:00 PM",Pre-sale: 1.0 SOL
Flower Lolita,Ethereum,https://twitter.com/flowerlolitanft,"5/14/2022, 9:00:00 PM",Sale: 0.05 ETH
DoomBoo,Ethereum,https://twitter.com/doombooNFT,"5/15/2022, 12:00:00 PM",Sale: 0.2 ETH
HexaHero Hero NFT Drop,Solana,https://twitter.com/Meta_Gaia,"5/15/2022, 1:30:00 PM",Sale: 0.88 SOL
Swords & Kunai -The Hidden Shinobi Drop,Solana,https://twitter.com/SwordsAndKunai,"5/15/2022, 4:00:00 PM",Sale: 1 SOL
Dinodawgs 3D™,Solana,https://twitter.com/DinodawgKingdom,"5/15/2022, 5:00:00 PM",Pre-sale: 0.05 SOL
Cruel Kunoichi,Solana,https://twitter.com/Japanese_Wave,"5/15/2022, 5:00:00 PM",Sale: 0.2 SOL
Chillin Chameleons 3.0,Ethereum,https://twitter.com/chillnchameleon,"5/15/2022, 7:00:00 PM",Pre-sale: 0.09 ETH
The Royal Bears,Solana,https://twitter.com/TheRoyalBears,"5/15/2022, 8:00:00 PM",Sale: 0.6 SOL
Streetlab.io | Launching Genesis Collection on May 15,Ethereum,https://twitter.com/Streetlab_io,"5/15/2022, 9:00:00 PM",Sale: 0.07 ETH
Pig Gang,Ethereum,https://twitter.com/piggangnfts,"5/15/2022, 9:00:00 PM",Pre-sale: 0.025 ETH
MetamonGo,Ethereum,https://twitter.com/Metamongonft,"5/15/2022, 10:00:00 PM",Pre-sale: 0.15 ETH
