Project,CurrencyLinks,Starts in,Sale info
Funky Egg Club,Solana,https://twitter.com/funky_egg_club,"10/26/2022, 1:00:00 AM",Sale: 0.1 SOL
Hooty Owls NFT (Limited Halloween Edition),Ethereum,https://twitter.com/HootyOwlsNFT,"10/26/2022, 1:00:00 PM",Sale: 0.05 ETH
Blood Vessels,Ethereum,https://twitter.com/bloodvesselsnft,"10/26/2022, 1:00:00 PM",Sale: 0.075 ETH
Crypto Pugs Society,Ethereum,https://twitter.com/CryptoPugsNFT,"10/26/2022, 5:00:00 PM",Pre-sale: Free Mint
Axo Fight Club,Ethereum,https://twitter.com/axofightclub,"10/26/2022, 11:00:00 PM",Pre-sale: 0.00 ETH
Couto no Karuto,Ethereum,https://mobile.twitter.com/animereneee,"10/27/2022, 8:00:00 AM",Pre-sale: 0.095 ETH
The Millies Club,Ethereum,https://twitter.com/TheMilliesClub,"10/27/2022, 9:00:00 AM",Sale: 0.04 ETH
Lost Hamsters,Ethereum,https://twitter.com/LostHamsters,"10/27/2022, 11:00:00 AM",Sale: 0.05 ETH
Sandlot Sloths,Ethereum,https://twitter.com/sandlotsloths,"10/27/2022, 12:00:00 PM",Sale: 0.06 ETH
Yess Yaks,Solana,https://twitter.com/Yess_Yaks/,"10/27/2022, 12:00:00 PM",Sale: 1.5 SOL
MasterGate,Solana,https://twitter.com/NFTMasterGate,"10/27/2022, 4:00:00 PM",Sale: 2 SOL
Raccoons Club,Solana,https://twitter.com/RacconsClub,"10/27/2022, 6:00:00 PM",Sale: 0.3 SOL
The Greedy  Machines VOL_1,Ethereum,https://twitter.com/GMT_Token,"10/28/2022, 12:00:00 PM",Pre-sale: 1 ETH
Syke Monkez,Solana,https://twitter.com/sykemonkez,"10/28/2022, 4:00:00 PM",Sale: 0.25 SOL
Mutinous Turtles,Solana,https://twitter.com/MutinousTurtles,"10/28/2022, 5:00:00 PM",Sale: 0.079 SOL
Cool Cowboys,Ethereum,https://twitter.com/ItsCoolCowboys,"10/29/2022, 1:00:00 AM",Sale: 0.015 ETH
NOX LTD 2023 Serial NFT Collection,Ethereum,https://twitter.com/noxpadel,"10/29/2022, 10:00:00 AM",Sale: 0.069 ETH
Meta Ghost,Ethereum,https://twitter.com/meta_ghost_nft,"10/29/2022, 4:00:00 PM",Sale: 0.069 ETH
Fitness Fiends,Ethereum,https://twitter.com/FitnessFiends_,"10/29/2022, 7:00:00 PM",Pre-sale: 0.09 ETH
Mitama ミタマ,Ethereum,https://twitter.com/MintMitama,"10/30/2022, 12:00:00 AM",Sale: 0.06 ETH
Neckless Neighbors,Solana,https://twitter.com/NecklesNeighbor,"10/30/2022, 12:00:00 AM",Sale: 2.0 SOL
RolandStudios,Solana,https://twitter.com/Roland_Studios,"10/30/2022, 12:00:00 PM",Sale: 0.25 SOL
Moonmons,Solana,https://twitter.com/MoonmonsNFT,"10/30/2022, 1:00:00 PM",Pre-sale: 0.5 SOL
Halloween Kong Club,Solana,https://twitter.com/RoyalKongClub,"10/30/2022, 2:00:00 PM",Sale: 1 SOL
Monster Dolls,Ethereum,https://twitter.com/MonsterDollsNFT,"10/30/2022, 5:00:00 PM",Sale: 0.005 ETH
Pumpkin Pailz,Solana,https://twitter.com/PumpkinPailz,"10/30/2022, 6:00:00 PM",Sale: 0.13 SOL
Marine Fragments,Ethereum,https://twitter.com/MarineFragments,"10/31/2022, 4:00:00 PM",Sale: 0.08 ETH
Twinkle Town,Ethereum,https://twitter.com/twinkletownnft,"10/31/2022, 8:00:00 PM",Sale: 0.07 ETH
Space RPG,Ethereum,https://twitter.com/SpaceRPG_nft,"10/31/2022, 9:00:00 PM",Sale: 0.007 ETH
Bicycle Brides,Ethereum,https://twitter.com/BicycleBrides,"10/31/2022, 9:00:00 PM",Sale: 0.1 ETH
Little Bloody Friends,Solana,https://twitter.com/PrimeArtLabs,"10/31/2022, 9:00:00 PM",Sale: 1.00 SOL
Revolution Moon Earth,Ethereum,https://twitter.com/Moonearth_io,"11/1/2022, 12:00:00 AM",Sale: 0.15 ETH
FELINE FOX,Solana,https://twitter.com/FILENEFOX,"11/1/2022, 3:00:00 PM",Sale: 0.1 SOL
Mobile-Knights NFT,Solana,https://twitter.com/MobileKnights_,"11/1/2022, 5:00:00 PM",Pre-sale: 2 SOL
The Japanese,Ethereum,https://twitter.com/thejapanesenfts,"11/1/2022, 7:00:00 PM",Pre-sale: Free Mint
Pooky Ball,Ethereum,https://twitter.com/pookygg,"11/2/2022, 11:11:00 AM",Sale: 0.05 ETH
Go Bulls,Solana,https://twitter.com/GoBullsNFT,"11/2/2022, 1:00:00 PM",Sale: 0.9 SOL
Glam Ape Ladies,Ethereum,https://twitter.com/glamapeladies,"11/2/2022, 2:00:00 PM",Pre-sale: Free Mint
Prima Couture Collection,Ethereum,https://twitter.com/NftBallerina,"11/2/2022, 7:00:00 PM",Sale: 1.2 ETH
VR Hamsters,Ethereum,https://twitter.com/VR_Hamsters,"11/3/2022, 12:00:00 PM",Sale: 0.02 ETH
Rowdy Knights Club,Solana,https://twitter.com/Rowdy_Knights,"11/4/2022, 12:00:00 PM",Sale: 4 SOL
Vendetta Society,Ethereum,https://twitter.com/VendettaNFT_,"11/5/2022, 2:00:00 PM",Sale: 0.13 ETH
AI Birds by Computer,Ethereum,https://twitter.com/ComputerCrypto,"11/6/2022, 12:00:00 PM",Sale: 0.025 ETH
Waifuz,Solana,https://twitter.com/originalwaifuz,"11/7/2022, 6:00:00 PM",Sale: 1.2 SOL
Vinitopia,Solana,https://twitter.com/vinitopia,"11/9/2022, 9:00:00 PM",Sale: 4.25 SOL
Monuverse - Episode I: Arch of Peace,Ethereum,https://twitter.com/monuverse,"11/11/2022, 12:00:00 AM",Sale: 0.09 ETH
MutantBoi,Solana,https://twitter.com/mutantboi_nft,"11/15/2022, 8:00:00 PM",Sale: 1 SOL
Female Pleasure Society,Ethereum,https://twitter.com/FPS_NFT,"11/16/2022, 1:00:00 PM","Sale: 0,23 ETH"
CookieLabs,Solana,https://twitter.com/CookieLabsNFT,"11/20/2022, 6:00:00 PM",Sale: 0.8 SOL
KeplerHomes,KeplerHomes,https://twitter.com/KeplerHomes,"11/20/2022, 8:00:00 PM",Sale: 1.2 BNB
VOXEL CRAZY HEAD,Ethereum,https://twitter.com/VoxelCrazyHead,"11/25/2022, 12:00:00 PM",Sale: 0.05 ETH
Pixel Bulls Head,Solana,https://twitter.com/BullsHeadsNFT,"11/26/2022, 4:00:00 AM",Sale: 0.3 SOL
Giddies,Solana,https://twitter.com/GiddiesNFT,"11/27/2022, 8:00:00 PM",Sale: 1.75 SOL
Kaws Doodles,Ethereum,https://twitter.com/KawsDoodles,"11/30/2022, 12:00:00 PM",Sale: 0.1 ETH
MetaDollsNFT,Ethereum,https://twitter.com/metadollsnft,"12/7/2022, 11:00:00 PM",Sale: TBA
Toys Land NFT,Ethereum,https://twitter.com/toysland_ae,"12/12/2022, 12:12:00 AM",Sale: 0.08 ETH
Dapper Ape High Society,Solana,https://twitter.com/DAHSNFT,"12/20/2022, 2:00:00 AM",Sale: 0.75 SOL
PANDORA,Solana,https://twitter.com/pandora_nfts,"12/20/2022, 4:30:00 PM",Sale: 0.0505 SOL
Alpha Warriors,Solana,https://twitter.com/AlphaWarriorNFT,"1/1/2023, 12:00:00 AM",Sale: 2 SOL
Flash Drives,Solana,https://twitter.com/ProsperousNFTs,"1/1/2023, 12:00:00 AM",Sale: 0.88 SOL
Mestro NFT,Solana,https://twitter.com/MestroNFT,"6/30/2022, 5:00:00 PM",Sale: 1 SOL
Solvillains,Solana,https://twitter.com/solvillains,"6/30/2022, 5:53:00 PM",Sale: 4.0 SOL
The Hatman NFT,Solana,https://twitter.com/thehatmannft,"6/30/2022, 6:00:00 PM",Sale: 4 SOL
Devour’s Industry Collection Restaurant Rewards NFT,Ethereum,https://twitter.com/DevourNFTS,"6/30/2022, 6:00:00 PM",Sale: 0.15 ETH
Scratch-off NFT World Cup ed,Solana,https://twitter.com/scratchoffNFT,"6/30/2022, 6:00:00 PM",Sale: 0.10 SOL
Dreams City,Dreams City,https://twitter.com/DreamsCityNft,"6/30/2022, 7:00:00 PM",Sale: 45 ADA
Degen Goblins,Solana,https://twitter.com/degen_goblins,"6/30/2022, 8:00:00 PM",Sale: 0.01 SOL
La Fuska,Solana,https://twitter.com/LaFuskaWarriors,"6/30/2022, 9:00:00 PM",Sale: 2 SOL
Rich Rhino Club,Ethereum,https://twitter.com/richrhinoclub,"6/30/2022, 9:00:00 PM",Pre-sale: 0.035 ETH
Turtle Island NFT,Solana,https://twitter.com/TurtleIslandNFT,"6/30/2022, 11:45:00 PM",Pre-sale: 1 SOL
Futugo Meta Icons,Futugo Meta Icons,https://twitter.com/Futugoapp,"7/1/2022, 12:00:00 AM",Sale: 320 MATIC
DOPE,Ethereum,https://twitter.com/DopeVoyage,"7/1/2022, 1:00:00 AM",Pre-sale: 0.1 ETH
Tomorrow's World NFT,Ethereum,https://twitter.com/TWorldNFT,"7/1/2022, 4:00:00 PM",Sale: 0.2 ETH
Werewolf Legends,Ethereum,https://twitter.com/LegendsWerewolf,"7/1/2022, 5:00:00 PM",Sale: 0.1 ETH
Cool Cats Mafia,Solana,https://twitter.com/CoolCatsMafia,"7/1/2022, 6:00:00 PM",Sale: 1 SOL
Shredded Sharks,Ethereum,https://mobile.twitter.com/ShreddedShark,"7/1/2022, 6:00:00 PM",Sale: 0.152992 ETH
BSC Name Service ,BSC Name Service ,https://twitter.com/ButterDomain,"7/1/2022, 8:00:00 PM",Sale: 30 USDT
Crypto Frogs,Solana,https://twitter.com/CryptoFrogs_NFT,"7/1/2022, 8:00:00 PM",Pre-sale: 0.50 SOL
Grumpy Bears,Solana,https://twitter.com/Grumpy_BearsNFT,"7/2/2022, 12:00:00 PM",Sale: 2.2 SOL
Millenabots,Solana,https://twitter.com/millenabots,"7/2/2022, 12:00:00 PM",Sale: 3 SOL
Miningverse NFT,Ethereum,https://twitter.com/MiningverseNFT,"7/2/2022, 3:00:00 PM",Sale: 0.25 ETH
Toysterz,Ethereum,https://twitter.com/wearetoysterz,"7/2/2022, 8:00:00 PM",Sale: 0.25 ETH
Vis Libertas,Solana,https://twitter.com/vislibertas,"7/3/2022, 4:00:00 PM",Sale: 2.0 SOL
OniGiri,Ethereum,https://twitter.com/onigirisnft,"7/3/2022, 5:00:00 PM",Sale: 0.1 ETH
Blocakes,Ethereum,https://twitter.com/BlocakesNFT,"7/5/2022, 4:00:00 PM",Sale: 0.07 ETH
KoiGuys,Ethereum,https://twitter.com/KoiGuysNFT,"7/5/2022, 5:00:00 PM",Pre-sale: 0.06 ETH
Sweet Apocalypse,Solana,https://twitter.com/sweetapocaIypse,"7/5/2022, 6:00:00 PM",Sale: 2 SOL
The Legend of Talkado,The Legend of Talkado,https://twitter.com/TalkadoNFT,"7/5/2022, 10:59:00 PM",Pre-sale: 0.25 BNB
Frontline Otters,Ethereum,https://twitter.com/frontlineotters,"7/6/2022, 1:00:00 AM",Sale: 0.08 ETH
The Metalodons Club,Ethereum,https://twitter.com/metalodons_club,"7/6/2022, 4:00:00 PM",Pre-sale: 0.04 ETH
MetaLions,Solana,https://twitter.com/metalionsio,"7/6/2022, 8:00:00 PM",Sale: 1.9 SOL
Chief Toad,Ethereum,https://twitter.com/ChiefToadNFT,"7/7/2022, 1:00:00 AM",Sale: 0.08 ETH
NXS,Solana,https://twitter.com/NXS_nft,"7/7/2022, 12:00:00 PM",Sale: 2 SOL
7LuX,Ethereum,https://twitter.com/7luxnft,"7/7/2022, 1:00:00 PM",Sale: 1 ETH
SOLPARK NFT,Solana,https://twitter.com/Solpark_nft,"7/7/2022, 6:20:00 PM",Pre-sale: 1 SOL
BadHabitsNFTSOL,Solana,https://twitter.com/BadHabitsNFTSOL,"7/8/2022, 6:00:00 PM",Sale: 2 SOL
DBAG,Ethereum,https://twitter.com/dbagnft,"7/8/2022, 11:00:00 PM",Sale: 0.15 ETH
Harpytownwtf,Ethereum,https://twitter.com/harpytownwtf,"7/9/2022, 9:00:00 PM",Pre-sale: FREE
Zoothereum,Ethereum,https://twitter.com/zoothereum,"7/10/2022, 12:00:00 PM",Sale: 0.05 ETH
Cosmic Corpse Society,Ethereum,https://twitter.com/CosmicCorpseNFT,"7/10/2022, 6:00:00 PM",Sale: 0.05 ETH
YCLUB,Ethereum,https://twitter.com/yclub_io,"7/13/2022, 6:00:00 PM",Pre-sale: 0.15 ETH
BlockHead$,Solana,https://twitter.com/blockheads_io,"7/15/2022, 12:00:00 AM",Sale: 2-3 SOL
MekaRim,Ethereum,https://twitter.com/MekaRim_NFT,"7/16/2022, 5:00:00 PM",Pre-sale: 0.15 ETH
